Student,LPIPS,SSIM
112590003.png,0.0,1.0
112590030.png,0.2656787931919098,0.5743051880246808
113378043.png,0.2811271846294403,0.6092089662697463
111332012.png,0.30557453632354736,0.5270696130807441
112590009.png,0.32478246092796326,0.5479188062997814
112590057.png,0.3252100646495819,0.5350191413093606
112590022.png,0.3275962173938751,0.6130259929382893
112590004.png,0.34062597155570984,0.5976048620720369
110820009.png,0.3499663174152374,0.5918478211180977
112590020.png,0.35355350375175476,0.5465607506688273
112590036.png,0.35817015171051025,0.5582866011326861
112590060.png,0.36450061202049255,0.5813400240824332
112590007.png,0.36459746956825256,0.5471133666644147
112590044.png,0.37159740924835205,0.6036551786114459
110590456.png,0.3729392886161804,0.5504856663706172
112590026.png,0.37473225593566895,0.582319805273973
112590035.png,0.39667564630508423,0.5350905931259655
112590041.png,0.3971737027168274,0.5146141006609606
112590017.png,0.39922094345092773,0.5242819650145583
109810011.png,0.403566837310791,0.5074992315359598
112590014.png,0.40945595502853394,0.5936012821972274
111820017.jpg,0.412168025970459,0.5716913588169984
112590038.png,0.42569831013679504,0.5300582476748117
112590031.png,0.42800116539001465,0.42353279083835077
112590023.png,0.4321075677871704,0.5734759520785261
112590021.png,0.4354513883590698,0.4417075271568553
110590041.png,0.4389653205871582,0.5142557895755402
112590033.png,0.46836715936660767,0.5301454553245487
112590052.png,0.4701371490955353,0.42078456320351737
112590012.png,0.4780038595199585,0.5602566846342151
112590013.png,0.4886326193809509,0.5431871965745756
112590029.png,0.49150699377059937,0.556590517263762
112590005.png,0.5011002421379089,0.45959197317789185
112590053.png,0.5052890777587891,0.4075726880419952
112590051.png,0.5136869549751282,0.35985514974190974
112590024.png,0.515549898147583,0.38306343896029665
112ab0053.png,0.537607729434967,0.5495314119518738
112590018.png,0.5679477453231812,0.381888682033147
